Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
-1.9533823, 2020-2039, gfdl_cm3, Jan Average, Afghanistan, AFG
-0.84540737, 2020-2039, gfdl_cm3, Feb Average, Afghanistan, AFG
5.6706686, 2020-2039, gfdl_cm3, Mar Average, Afghanistan, AFG
11.854111, 2020-2039, gfdl_cm3, Apr Average, Afghanistan, AFG
18.018717, 2020-2039, gfdl_cm3, May Average, Afghanistan, AFG
24.010303, 2020-2039, gfdl_cm3, Jun Average, Afghanistan, AFG
27.79396, 2020-2039, gfdl_cm3, Jul Average, Afghanistan, AFG
26.352554, 2020-2039, gfdl_cm3, Aug Average, Afghanistan, AFG
21.259151, 2020-2039, gfdl_cm3, Sep Average, Afghanistan, AFG
14.398182, 2020-2039, gfdl_cm3, Oct Average, Afghanistan, AFG
6.9041705, 2020-2039, gfdl_cm3, Nov Average, Afghanistan, AFG
-0.30065998, 2020-2039, gfdl_cm3, Dec Average, Afghanistan, AFG
-0.001611604, 2020-2039, gfdl_esm2m, Jan Average, Afghanistan, AFG
2.3650668, 2020-2039, gfdl_esm2m, Feb Average, Afghanistan, AFG
7.028968, 2020-2039, gfdl_esm2m, Mar Average, Afghanistan, AFG
13.228291, 2020-2039, gfdl_esm2m, Apr Average, Afghanistan, AFG
19.421251, 2020-2039, gfdl_esm2m, May Average, Afghanistan, AFG
25.56969, 2020-2039, gfdl_esm2m, Jun Average, Afghanistan, AFG
28.369528, 2020-2039, gfdl_esm2m, Jul Average, Afghanistan, AFG
26.809185, 2020-2039, gfdl_esm2m, Aug Average, Afghanistan, AFG
22.516665, 2020-2039, gfdl_esm2m, Sep Average, Afghanistan, AFG
14.053006, 2020-2039, gfdl_esm2m, Oct Average, Afghanistan, AFG
6.520162, 2020-2039, gfdl_esm2m, Nov Average, Afghanistan, AFG
1.1151395, 2020-2039, gfdl_esm2m, Dec Average, Afghanistan, AFG
3.3691587, 2020-2039, giss_e2_h, Jan Average, Afghanistan, AFG
5.497212, 2020-2039, giss_e2_h, Feb Average, Afghanistan, AFG
10.344664, 2020-2039, giss_e2_h, Mar Average, Afghanistan, AFG
15.623468, 2020-2039, giss_e2_h, Apr Average, Afghanistan, AFG
20.02417, 2020-2039, giss_e2_h, May Average, Afghanistan, AFG
22.384491, 2020-2039, giss_e2_h, Jun Average, Afghanistan, AFG
23.025698, 2020-2039, giss_e2_h, Jul Average, Afghanistan, AFG
21.88973, 2020-2039, giss_e2_h, Aug Average, Afghanistan, AFG
19.50267, 2020-2039, giss_e2_h, Sep Average, Afghanistan, AFG
15.379713, 2020-2039, giss_e2_h, Oct Average, Afghanistan, AFG
9.261991, 2020-2039, giss_e2_h, Nov Average, Afghanistan, AFG
3.6804793, 2020-2039, giss_e2_h, Dec Average, Afghanistan, AFG
3.8709176, 2020-2039, giss_e2_r, Jan Average, Afghanistan, AFG
6.078303, 2020-2039, giss_e2_r, Feb Average, Afghanistan, AFG
9.444935, 2020-2039, giss_e2_r, Mar Average, Afghanistan, AFG
14.457587, 2020-2039, giss_e2_r, Apr Average, Afghanistan, AFG
18.461576, 2020-2039, giss_e2_r, May Average, Afghanistan, AFG
21.188484, 2020-2039, giss_e2_r, Jun Average, Afghanistan, AFG
21.712809, 2020-2039, giss_e2_r, Jul Average, Afghanistan, AFG
21.657349, 2020-2039, giss_e2_r, Aug Average, Afghanistan, AFG
19.234978, 2020-2039, giss_e2_r, Sep Average, Afghanistan, AFG
15.338326, 2020-2039, giss_e2_r, Oct Average, Afghanistan, AFG
8.978223, 2020-2039, giss_e2_r, Nov Average, Afghanistan, AFG
4.832331, 2020-2039, giss_e2_r, Dec Average, Afghanistan, AFG
0.56700134, 2020-2039, ipsl_cm5a_mr, Jan Average, Afghanistan, AFG
3.5017517, 2020-2039, ipsl_cm5a_mr, Feb Average, Afghanistan, AFG
8.027564, 2020-2039, ipsl_cm5a_mr, Mar Average, Afghanistan, AFG
13.944494, 2020-2039, ipsl_cm5a_mr, Apr Average, Afghanistan, AFG
19.71566, 2020-2039, ipsl_cm5a_mr, May Average, Afghanistan, AFG
23.508577, 2020-2039, ipsl_cm5a_mr, Jun Average, Afghanistan, AFG
26.017365, 2020-2039, ipsl_cm5a_mr, Jul Average, Afghanistan, AFG
26.087505, 2020-2039, ipsl_cm5a_mr, Aug Average, Afghanistan, AFG
20.84278, 2020-2039, ipsl_cm5a_mr, Sep Average, Afghanistan, AFG
13.573604, 2020-2039, ipsl_cm5a_mr, Oct Average, Afghanistan, AFG
6.654853, 2020-2039, ipsl_cm5a_mr, Nov Average, Afghanistan, AFG
1.7978538, 2020-2039, ipsl_cm5a_mr, Dec Average, Afghanistan, AFG
4.2997403, 2020-2039, miroc_esm, Jan Average, Afghanistan, AFG
6.982784, 2020-2039, miroc_esm, Feb Average, Afghanistan, AFG
12.157484, 2020-2039, miroc_esm, Mar Average, Afghanistan, AFG
16.991762, 2020-2039, miroc_esm, Apr Average, Afghanistan, AFG
22.6891, 2020-2039, miroc_esm, May Average, Afghanistan, AFG
28.611872, 2020-2039, miroc_esm, Jun Average, Afghanistan, AFG
30.938179, 2020-2039, miroc_esm, Jul Average, Afghanistan, AFG
29.673428, 2020-2039, miroc_esm, Aug Average, Afghanistan, AFG
25.762808, 2020-2039, miroc_esm, Sep Average, Afghanistan, AFG
17.12637, 2020-2039, miroc_esm, Oct Average, Afghanistan, AFG
10.302539, 2020-2039, miroc_esm, Nov Average, Afghanistan, AFG
4.5527024, 2020-2039, miroc_esm, Dec Average, Afghanistan, AFG
4.1471567, 2020-2039, miroc_esm_chem, Jan Average, Afghanistan, AFG
6.7294993, 2020-2039, miroc_esm_chem, Feb Average, Afghanistan, AFG
11.180757, 2020-2039, miroc_esm_chem, Mar Average, Afghanistan, AFG
17.343824, 2020-2039, miroc_esm_chem, Apr Average, Afghanistan, AFG
22.884174, 2020-2039, miroc_esm_chem, May Average, Afghanistan, AFG
28.79511, 2020-2039, miroc_esm_chem, Jun Average, Afghanistan, AFG
31.296873, 2020-2039, miroc_esm_chem, Jul Average, Afghanistan, AFG
30.31902, 2020-2039, miroc_esm_chem, Aug Average, Afghanistan, AFG
25.519913, 2020-2039, miroc_esm_chem, Sep Average, Afghanistan, AFG
16.771097, 2020-2039, miroc_esm_chem, Oct Average, Afghanistan, AFG
9.292078, 2020-2039, miroc_esm_chem, Nov Average, Afghanistan, AFG
5.3741593, 2020-2039, miroc_esm_chem, Dec Average, Afghanistan, AFG
3.3408158, 2020-2039, miroc5, Jan Average, Afghanistan, AFG
5.560086, 2020-2039, miroc5, Feb Average, Afghanistan, AFG
10.538697, 2020-2039, miroc5, Mar Average, Afghanistan, AFG
16.457321, 2020-2039, miroc5, Apr Average, Afghanistan, AFG
22.838526, 2020-2039, miroc5, May Average, Afghanistan, AFG
27.987217, 2020-2039, miroc5, Jun Average, Afghanistan, AFG
30.078995, 2020-2039, miroc5, Jul Average, Afghanistan, AFG
28.702919, 2020-2039, miroc5, Aug Average, Afghanistan, AFG
24.485012, 2020-2039, miroc5, Sep Average, Afghanistan, AFG
18.07392, 2020-2039, miroc5, Oct Average, Afghanistan, AFG
10.884237, 2020-2039, miroc5, Nov Average, Afghanistan, AFG
4.8677173, 2020-2039, miroc5, Dec Average, Afghanistan, AFG
-2.0531723, 2020-2039, mri_cgcm3, Jan Average, Afghanistan, AFG
0.055645686, 2020-2039, mri_cgcm3, Feb Average, Afghanistan, AFG
4.4064164, 2020-2039, mri_cgcm3, Mar Average, Afghanistan, AFG
10.424657, 2020-2039, mri_cgcm3, Apr Average, Afghanistan, AFG
16.551886, 2020-2039, mri_cgcm3, May Average, Afghanistan, AFG
22.192808, 2020-2039, mri_cgcm3, Jun Average, Afghanistan, AFG
25.880129, 2020-2039, mri_cgcm3, Jul Average, Afghanistan, AFG
23.93574, 2020-2039, mri_cgcm3, Aug Average, Afghanistan, AFG
18.368052, 2020-2039, mri_cgcm3, Sep Average, Afghanistan, AFG
11.663755, 2020-2039, mri_cgcm3, Oct Average, Afghanistan, AFG
3.8389966, 2020-2039, mri_cgcm3, Nov Average, Afghanistan, AFG
-1.0616066, 2020-2039, mri_cgcm3, Dec Average, Afghanistan, AFG
-0.23786041, 2020-2039, noresm1_m, Jan Average, Afghanistan, AFG
1.3410317, 2020-2039, noresm1_m, Feb Average, Afghanistan, AFG
7.4357877, 2020-2039, noresm1_m, Mar Average, Afghanistan, AFG
13.227172, 2020-2039, noresm1_m, Apr Average, Afghanistan, AFG
20.420528, 2020-2039, noresm1_m, May Average, Afghanistan, AFG
25.58853, 2020-2039, noresm1_m, Jun Average, Afghanistan, AFG
27.258907, 2020-2039, noresm1_m, Jul Average, Afghanistan, AFG
26.09195, 2020-2039, noresm1_m, Aug Average, Afghanistan, AFG
20.116117, 2020-2039, noresm1_m, Sep Average, Afghanistan, AFG
